"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","50 to 54","Hawaii","18**","86,900","20.71**","--","235"
"2021","50 to 54","Idaho","26","107,832","24.11","--","335"
"2021","50 to 54","Illinois","122","809,035","15.08","--","1,624"
"2021","50 to 54","Indiana","83","419,439","19.79","--","1,093"
"2021","50 to 54","Iowa","45","186,888","24.08","--","595"
"2021","50 to 54","Kansas","36","166,172","21.66","--","462"
"2021","50 to 54","Kentucky","74","286,712","25.81","--","990"
"2021","50 to 54","Louisiana","62","274,969","22.55","--","808"
"2021","50 to 54","Maine","29","91,904","31.56","--","392"
"2021","50 to 54","Maryland","48","411,958","11.65","--","623"
